datetime,y,soldout,name,kcal,weather,precipitation,temperature,data_flg,月,木,水,火,金,お楽しみメニュー,スペシャルメニュー（800円）,手作りの味,料理長のこだわりメニュー,近隣に飲食店複合ビルオープン,酢豚（28食）、カレー（85食）,鶏のレモンペッパー焼（50食）、カレー（42食）,キャリアアップ支援セミナー,ママの会,給料日経過日数,カツ,カレー,ハンバーグ,中華,フライ,チキン,その他
2013-11-18,90.0,0,厚切りイカフライ,422.0,1,0,19.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0
2013-11-19,101.0,1,手作りヒレカツ,411.10714285714283,1,0,17.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0
2013-11-20,118.0,0,白身魚唐揚げ野菜あん,405.0408163265306,1,0,15.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0
2013-11-21,120.0,1,若鶏ピリ辛焼,405.0408163265306,1,0,15.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0
2013-11-22,130.0,1,ビッグメンチカツ,411.10714285714283,1,0,16.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0
2013-11-25,135.0,1,鶏の唐揚,405.0408163265306,4,0,14.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0
2013-11-26,145.0,0,豚のスタミナ炒め,405.0408163265306,1,0,17.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0
2013-11-27,140.0,1,ボローニャ風カツ,396.0,2,0,14.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0
2013-11-28,151.0,0,ハンバーグ,425.0,3,0,17.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0
2013-11-29,116.0,0,タルタルinソーセージカツ,411.10714285714283,1,0,12.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0
2013-12-02,151.0,1,マーボ豆腐,376.0,1,0,13.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0
2013-12-03,153.0,1,厚揚げ豚生姜炒め,405.0408163265306,1,0,13.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0
2013-12-04,151.0,1,クリームチーズ入りメンチ,406.0813953488372,2,0,13.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
2013-12-05,171.0,0,鶏のカッシュナッツ炒め,430.0,1,0,13.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0
2013-12-06,134.0,0,手作りロースカツ,419.25,1,0,14.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0
2013-12-09,165.0,1,ハンバーグデミソース,460.0,4,0,9.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0
2013-12-10,155.0,0,やわらかロースのサムジョン,405.0408163265306,4,0.5,7.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013-12-11,157.0,0,五目御飯,405.0408163265306,4,0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
2013-12-12,109.0,0,肉じゃが,397.3333333333333,1,0,12.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
2013-12-13,111.0,1,タンドリーチキン,394.8,1,0,13.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
2013-12-16,160.0,0,カキフライタルタル,422.0,1,0,11.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0
2013-12-17,145.0,0,手作りヒレカツ,411.10714285714283,4,0,10.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0
2013-12-18,145.0,1,回鍋肉,427.0,4,0,7.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0
2013-12-19,151.0,0,ポーク味噌焼き,406.0813953488372,5,0.5,6.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1
2013-12-20,134.0,1,鶏の唐揚げ甘酢あん,405.0408163265306,4,0,8.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0
2013-12-24,122.0,0,さっくりメンチカツ,411.10714285714283,1,0,11.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0
2013-12-25,121.0,1,手ごね風ハンバーグ,408.8333333333333,1,0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0
2013-12-26,80.0,0,酢豚,395.0,4,0,7.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0
2014-01-07,131.0,0,カレー入りソーセージカツ,404.0,1,0,7.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,1,1,0,0,0,0,0
