,day_of_the_week,holiday_flg,holiday_name,days_from_last_holiday,days_of_consecutive_holidays
2013-11-04,Monday,1,文化の日 振替休日,0.0,1.0
2013-11-05,Tuesday,0,,1.0,0.0
2013-11-06,Wednesday,0,,2.0,0.0
2013-11-07,Thursday,0,,3.0,0.0
2013-11-08,Friday,0,,4.0,0.0
2013-11-09,Saturday,1,,0.0,1.0
2013-11-10,Sunday,1,,0.0,2.0
2013-11-11,Monday,0,,1.0,0.0
2013-11-12,Tuesday,0,,2.0,0.0
2013-11-13,Wednesday,0,,3.0,0.0
2013-11-14,Thursday,0,,4.0,0.0
2013-11-15,Friday,0,,5.0,0.0
2013-11-16,Saturday,1,,0.0,1.0
2013-11-17,Sunday,1,,0.0,2.0
2013-11-18,Monday,0,,1.0,0.0
2013-11-19,Tuesday,0,,2.0,0.0
2013-11-20,Wednesday,0,,3.0,0.0
2013-11-21,Thursday,0,,4.0,0.0
2013-11-22,Friday,0,,5.0,0.0
2013-11-23,Saturday,1,勤労感謝の日,0.0,1.0
2013-11-24,Sunday,1,,0.0,2.0
2013-11-25,Monday,0,,1.0,0.0
2013-11-26,Tuesday,0,,2.0,0.0
2013-11-27,Wednesday,0,,3.0,0.0
2013-11-28,Thursday,0,,4.0,0.0
2013-11-29,Friday,0,,5.0,0.0
2013-11-30,Saturday,1,,0.0,1.0
2013-12-01,Sunday,1,,0.0,2.0
2013-12-02,Monday,0,,1.0,0.0
2013-12-03,Tuesday,0,,2.0,0.0
2013-12-04,Wednesday,0,,3.0,0.0
2013-12-05,Thursday,0,,4.0,0.0
2013-12-06,Friday,0,,5.0,0.0
2013-12-07,Saturday,1,,0.0,1.0
2013-12-08,Sunday,1,,0.0,2.0
2013-12-09,Monday,0,,1.0,0.0
2013-12-10,Tuesday,0,,2.0,0.0
2013-12-11,Wednesday,0,,3.0,0.0
2013-12-12,Thursday,0,,4.0,0.0
2013-12-13,Friday,0,,5.0,0.0
2013-12-14,Saturday,1,,0.0,1.0
2013-12-15,Sunday,1,,0.0,2.0
2013-12-16,Monday,0,,1.0,0.0
2013-12-17,Tuesday,0,,2.0,0.0
2013-12-18,Wednesday,0,,3.0,0.0
2013-12-19,Thursday,0,,4.0,0.0
2013-12-20,Friday,0,,5.0,0.0
2013-12-21,Saturday,1,,0.0,1.0
2013-12-22,Sunday,1,,0.0,2.0
2013-12-23,Monday,1,天皇誕生日,0.0,3.0
2013-12-24,Tuesday,0,,1.0,0.0
2013-12-25,Wednesday,0,,2.0,0.0
2013-12-26,Thursday,0,,3.0,0.0
2013-12-27,Friday,0,,4.0,0.0
2013-12-28,Saturday,1,,0.0,1.0
2013-12-29,Sunday,1,,0.0,2.0
2013-12-30,Monday,0,,1.0,0.0
2013-12-31,Tuesday,0,,2.0,0.0
2014-01-01,Wednesday,1,元日,0.0,1.0
2014-01-02,Thursday,0,,1.0,0.0
2014-01-03,Friday,0,,2.0,0.0
2014-01-04,Saturday,1,,0.0,1.0
2014-01-05,Sunday,1,,0.0,2.0
2014-01-06,Monday,0,,1.0,0.0
2014-01-07,Tuesday,0,,2.0,0.0
2014-01-08,Wednesday,0,,3.0,0.0
2014-01-09,Thursday,0,,4.0,0.0
2014-01-10,Friday,0,,5.0,0.0
2014-01-11,Saturday,1,,0.0,1.0
2014-01-12,Sunday,1,,0.0,2.0
2014-01-13,Monday,1,成人の日,0.0,3.0
2014-01-14,Tuesday,0,,1.0,0.0
2014-01-15,Wednesday,0,,2.0,0.0
2014-01-16,Thursday,0,,3.0,0.0
2014-01-17,Friday,0,,4.0,0.0
2014-01-18,Saturday,1,,0.0,1.0
2014-01-19,Sunday,1,,0.0,2.0
2014-01-20,Monday,0,,1.0,0.0
2014-01-21,Tuesday,0,,2.0,0.0
2014-01-22,Wednesday,0,,3.0,0.0
2014-01-23,Thursday,0,,4.0,0.0
2014-01-24,Friday,0,,5.0,0.0
2014-01-25,Saturday,1,,0.0,1.0
2014-01-26,Sunday,1,,0.0,2.0
2014-01-27,Monday,0,,1.0,0.0
2014-01-28,Tuesday,0,,2.0,0.0
