,y,soldout,kcal,weather,precipitation,temperature,月,木,水,火,金,お楽しみメニュー,スペシャルメニュー（800円）,手作りの味,料理長のこだわりメニュー,近隣に飲食店複合ビルオープン,酢豚（28食）、カレー（85食）,鶏のレモンペッパー焼（50食）、カレー（42食）,キャリアアップ支援セミナー,ママの会,給料日経過日数,カツ,カレー,ハンバーグ,中華,フライ,チキン,その他,holiday_flg,days_from_last_holiday,days_of_consecutive_holidays
2013-11-18,90.0,0,422.0,1,0.0,19.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1.0,0.0
2013-11-19,101.0,1,411.1071428571428,1,0.0,17.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,2.0,0.0
2013-11-20,118.0,0,405.0408163265306,1,0.0,15.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,3.0,0.0
2013-11-21,120.0,1,405.0408163265306,1,0.0,15.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,4.0,0.0
2013-11-22,130.0,1,411.1071428571428,1,0.0,16.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,5.0,0.0
2013-11-25,135.0,1,405.0408163265306,4,0.0,14.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,1.0,0.0
2013-11-26,145.0,0,405.0408163265306,1,0.0,17.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,2.0,0.0
2013-11-27,140.0,1,396.0,2,0.0,14.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,3.0,0.0
2013-11-28,151.0,0,425.0,3,0.0,17.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,4.0,0.0
2013-11-29,116.0,0,411.1071428571428,1,0.0,12.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,5.0,0.0
2013-12-02,151.0,1,376.0,1,0.0,13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,1.0,0.0
2013-12-03,153.0,1,405.0408163265306,1,0.0,13.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,2.0,0.0
2013-12-04,151.0,1,406.0813953488372,2,0.0,13.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,3.0,0.0
2013-12-05,171.0,0,430.0,1,0.0,13.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,4.0,0.0
2013-12-06,134.0,0,419.25,1,0.0,14.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,5.0,0.0
2013-12-09,165.0,1,460.0,4,0.0,9.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0,0,1.0,0.0
2013-12-10,155.0,0,405.0408163265306,4,0.5,7.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,0.0
2013-12-11,157.0,0,405.0408163265306,4,0.0,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3.0,0.0
