name,カツ,カレー,ハンバーグ,中華,フライ,チキン,その他
メンチカツ,1,0,0,0,0,0,0
手作りヒレカツ,1,0,0,0,0,0,0
タンドリーチキン,0,0,0,0,0,1,0
ポークカレー,0,1,0,0,0,0,0
マーボ豆腐,0,0,0,1,0,0,0
肉じゃが,0,0,0,0,0,0,1
回鍋肉,0,0,0,1,0,0,0
チンジャオロース,0,0,0,1,0,0,0
鶏の唐揚げおろしソース,0,0,0,0,0,0,1
手作りロースカツ,1,0,0,0,0,0,0
チキンカレー,0,1,0,0,0,1,0
ボローニャ風カツ,1,0,0,0,0,0,0
ハンバーグ,0,0,1,0,0,0,0
鶏のカッシュナッツ炒め,0,0,0,1,0,0,0
ハンバーグデミソース,0,0,1,0,0,0,0
酢豚,0,0,0,1,0,0,0
鶏チリソース,0,0,0,1,0,0,0
カレイ唐揚げ野菜あんかけ,0,0,0,0,0,0,1
ハンバーグカレーソース,0,1,1,0,0,0,0
キーマカレー,0,1,0,0,0,0,0
青椒肉絲,0,0,0,1,0,0,0
ポーク生姜焼き,0,0,0,0,0,0,1
マーボ茄子,0,0,0,1,0,0,0
手作りチキンカツ,1,0,0,0,0,1,0
八宝菜,0,0,0,1,0,0,0
豚肉のマスタード焼き,0,0,0,0,0,0,1
バーベキューチキン,0,0,0,0,0,1,0
豚肉の生姜焼き,0,0,0,0,0,0,1
豚キムチ炒め,0,0,0,1,0,0,0
ロコモコ丼,0,0,0,0,0,0,1
親子煮,0,0,0,0,0,0,1
厚切イカフライ,0,0,0,0,1,0,0
麻婆豆腐,0,0,0,1,0,0,0
厚切りイカフライ,0,0,0,0,1,0,0
白身魚唐揚げ野菜あん,0,0,0,1,0,0,0
若鶏ピリ辛焼,0,0,0,1,0,0,0
ビッグメンチカツ,1,0,0,0,0,0,0
鶏の唐揚,0,0,0,1,0,0,0
豚のスタミナ炒め,0,0,0,1,0,0,0
タルタルinソーセージカツ,1,0,0,0,0,0,0
厚揚げ豚生姜炒め,0,0,0,1,0,0,0
クリームチーズ入りメンチ,0,0,0,0,0,0,1
五目御飯,0,0,0,1,0,0,0
カキフライタルタル,0,0,0,0,1,0,0
鶏の唐揚げ甘酢あん,0,0,0,1,0,0,0
さっくりメンチカツ,1,0,0,0,0,0,0
手ごね風ハンバーグ,0,0,1,0,0,0,0
カレー入りソーセージカツ,1,1,0,0,0,0,0
豚肉の生姜焼,0,0,0,0,0,0,1
鶏の照り焼きマスタード,0,0,0,0,0,0,1
さんま辛味焼,0,0,0,0,0,0,1
ジューシーメンチカツ,1,0,0,0,0,0,0
サバ焼味噌掛け,0,0,0,0,0,0,1
手作りひれかつとカレー,0,1,0,0,0,0,0
鶏のレモンペッパー焼orカレー,0,1,0,0,0,0,0
海老フライタルタル,0,0,0,0,1,0,0
チーズ入りメンチカツ,1,0,0,0,0,0,0
鶏の唐揚げ,0,0,0,0,0,0,1
メダイ照り焼,0,0,0,0,0,0,1
鶏のピリ辛焼き,0,0,0,0,0,0,1
ホタテクリ―ムシチュー,0,0,0,0,0,0,1
ますのマスタードソース,0,0,0,0,0,0,1
海老フライとホタテ串カツ,1,0,0,0,1,0,0
ハンバーグ和風きのこソース,0,0,1,0,0,0,0
酢豚orカレー,0,1,0,0,0,0,0
ポークハヤシ,0,0,0,0,0,0,1
チキンクリームシチュー,0,0,0,0,0,1,0
海老クリーミ―クノーデル,0,0,0,0,0,0,1
ビーフカレー,0,1,0,0,0,0,0
カレイ野菜あんかけ,0,0,0,0,0,0,1
チーズ入りハンバーグ,0,0,1,0,0,0,0
越冬キャベツのメンチカツ,1,0,0,0,0,0,0
肉団子クリームシチュー,0,0,0,0,0,0,1
和風ソースハンバーグ,0,0,1,0,0,0,0
青梗菜牛肉炒め,0,0,0,1,0,0,0
肉団子のシチュー,0,0,0,0,0,0,1
ビーフトマト煮,0,0,0,0,0,0,1
牛丼風煮,0,0,0,0,0,0,1
牛肉筍煮,0,0,0,0,0,0,1
鶏の照り焼きマヨ,0,0,0,0,0,0,1
中華丼,0,0,0,1,0,0,0
鶏の天ぷら,0,0,0,0,0,0,1
きのこソースハンバーグ,0,0,1,0,0,0,0
豚肉と茄子のピリ辛炒め,0,0,0,1,0,0,0
鶏の味噌漬け焼き,0,0,0,0,0,0,1
牛肉コロッケ,0,0,0,0,0,0,1
牛肉すき焼き風,0,0,0,0,0,0,1
いか天ぷら,0,0,0,0,0,0,1
ハンバーグケッチャップソース,0,0,1,0,0,0,0
ゴーヤチャンプルー,0,0,0,0,0,0,1
たっぷりベーコンフライ,0,0,0,0,1,0,0
カレイ唐揚げ野菜餡かけ,0,0,0,0,0,0,1
牛すき焼き風,0,0,0,0,0,0,1
ポークソテー韓国ソース,0,0,0,0,0,0,1
アジ唐揚げ南蛮ソース,0,0,0,1,0,0,0
炊き込みご飯,0,0,0,0,0,0,1
キスと野菜の天ぷら,0,0,0,0,0,0,1
鶏の塩から揚げ,0,0,0,0,0,0,1
カレイ唐揚げ夏野菜あん,0,0,0,1,0,0,0
白身魚ムニエル,0,0,0,0,0,0,1
かじきの甘辛煮,0,0,0,0,0,0,1
プルコギ,0,0,0,1,0,0,0
豚冷シャブ野菜添え,0,0,0,1,0,0,0
白身魚フライ,0,0,0,0,1,0,0
豚すき焼き,0,0,0,0,0,0,1
エビフライ,0,0,0,0,1,0,0
ジャンボチキンカツ,1,0,0,0,0,1,0
ひやしたぬきうどん・炊き込みご飯,0,0,0,0,0,0,1
鶏のから揚げスイートチリソース,0,0,0,0,0,0,1
ハンバーグ（デミきのこバター）,0,0,1,0,0,0,0
鶏肉のカレー唐揚,0,1,0,0,0,0,0
チキン香草焼きマスタードソース,0,0,0,0,0,1,0
サーモンフライ・タルタル,0,0,0,0,1,0,0
洋食屋さんのメンチカツ,1,0,0,0,0,0,0
牛スキヤキ,0,0,0,0,0,0,1
豚ロースのピザ風チーズ焼き,0,0,0,0,0,0,1
チキン南蛮,0,0,0,1,0,1,0
ビーフシチュー,0,0,0,0,0,0,1
名古屋味噌カツ,1,0,0,0,0,0,0
鶏肉の山賊焼き,0,0,0,0,0,0,1
チーズメンチカツ,1,0,0,0,0,0,0
チキンフリカッセ,0,0,0,0,0,1,0
カレイ唐揚げ 甘酢あん,0,0,0,0,0,0,1
筑前煮,0,0,0,0,0,0,1
ランチビュッフェ,0,0,0,0,0,0,1
豚肉と玉子の炒め,0,0,0,1,0,0,0
鶏肉とカシューナッツ炒め,0,0,0,1,0,0,0
麻婆春雨,0,0,0,1,0,0,0
厚揚げ肉みそ炒め,0,0,0,1,0,0,0
完熟トマトのホットカレー,0,1,0,0,0,0,0
若鶏梅肉包揚げ,0,0,0,1,0,0,0
ミックスグリル,0,0,0,0,0,0,1
豚肉と白菜の中華炒め,0,0,0,1,0,0,0
ヒレカツ,1,0,0,0,0,0,0
豚柳川,0,0,0,1,0,0,0
ビーフストロガノフ,0,0,0,0,0,0,1
唐揚げ丼,0,0,0,1,0,0,0
マス塩焼き,0,0,0,0,0,0,1
鶏肉と野菜の黒胡椒炒め,0,0,0,1,0,0,0
彩り野菜と鶏肉の黒酢あん,0,0,0,1,0,0,0
ポークのバーベキューソテー,0,0,0,0,0,0,1
鶏肉の唐揚げ,0,0,0,0,0,0,1
白身魚味噌焼き,0,0,0,0,0,0,1
エビフライ・エビカツ,1,0,0,0,1,0,0
野菜ごろごろシチュー,0,0,0,0,0,0,1
ベルギー風チキンのクリーム煮,0,0,0,0,0,1,0
スタミナ炒め,0,0,0,1,0,0,0
なすと挽肉のはさみ揚げ,0,0,0,0,0,0,1
鶏肉の治部煮風,0,0,0,0,0,0,1
牛丼風,0,0,0,0,0,0,1
鶏肉のスイートチリソース,0,0,0,0,0,0,1
やわらかロースのサムジョン,0,0,0,1,0,0,0
ポーク味噌焼き,0,0,0,0,0,0,1
さわら焼味噌掛け,0,0,0,0,0,0,1
ロース甘味噌焼き,0,0,0,0,0,0,1
白身魚唐揚げ野菜あんかけ,0,0,0,0,0,0,1
鶏の親子煮,0,0,0,0,0,0,1
豚味噌メンチカツ,1,0,0,0,0,0,0
白身魚唐揚げ野菜餡かけ,0,0,0,1,0,0,0
チーズハンバーグ,0,0,1,0,0,0,0
サーモンのムニエル2色ソース,0,0,0,0,0,0,1
牛肉ニンニクの芽炒め,0,0,0,1,0,0,0
チャプチェ,0,0,0,1,0,0,0
鶏のトマトシチュー,0,0,0,0,0,0,1
豚の冷しゃぶ,0,0,0,1,0,0,0
牛丼,0,0,0,0,0,0,1
手作りトンカツ,1,0,0,0,0,0,0
和風ハンバーグ,0,0,1,0,0,0,0
チキンのコーンクリーム焼き,0,0,0,0,0,1,0
鶏のから揚げねぎ塩炒めソース,0,0,0,1,0,0,0
厚切ハムカツ,1,0,0,0,0,0,0
白身魚の南部焼き,0,0,0,0,0,0,1
カレイの唐揚げ,0,0,0,0,0,0,1
豚肉の胡麻シャブ,0,0,0,1,0,0,0
チキンの辛味噌焼き,0,0,0,1,0,1,0
チキンステーキ・きのこソース,0,0,0,0,0,1,0
ぶりレモンペッパー焼き,0,0,0,0,0,0,1
白身魚のマスタード焼き,0,0,0,0,0,0,1
牛カルビ焼き肉,0,0,0,0,0,0,1
手作りひれかつ,0,0,0,0,0,0,1
